HorizonHours,ModelName,IsBaseline,MAE,RMSE,MAPE,Bias
1.0,Model,False,41.145,53.226,0.912,-2.861
1.0,Naive: same time last week,True,170.371,222.652,3.726,-26.922
1.0,Naive: same time yesterday,True,211.101,289.01,4.687,0.043
1.0,Naive: 4-week average,True,150.405,199.334,3.274,-41.923
1.0,Persistence,True,139.012,181.553,3.117,0.191
3.0,Model,False,80.578,109.033,1.775,-3.953
3.0,Naive: same time last week,True,170.371,222.652,3.726,-26.922
3.0,Naive: same time yesterday,True,211.101,289.01,4.687,0.043
3.0,Naive: 4-week average,True,150.405,199.334,3.274,-41.923
3.0,Persistence,True,364.593,459.715,8.14,0.294
6.0,Model,False,101.556,139.246,2.237,-8.259
6.0,Naive: same time last week,True,170.371,222.652,3.726,-26.922
6.0,Naive: same time yesterday,True,211.101,289.01,4.687,0.043
6.0,Naive: 4-week average,True,150.405,199.334,3.274,-41.923
6.0,Persistence,True,569.054,675.554,12.96,-0.212
12.0,Model,False,115.598,155.971,2.54,-14.144
12.0,Naive: same time last week,True,170.371,222.652,3.726,-26.922
12.0,Naive: same time yesterday,True,211.101,289.01,4.687,0.043
12.0,Naive: 4-week average,True,150.405,199.334,3.274,-41.923
12.0,Persistence,True,589.515,700.687,13.424,-0.326
24.0,Model,False,117.781,157.658,2.586,-19.868
24.0,Naive: same time last week,True,170.371,222.652,3.726,-26.922
24.0,Naive: same time yesterday,True,211.101,289.01,4.687,0.043
24.0,Naive: 4-week average,True,150.405,199.334,3.274,-41.923
24.0,Persistence,True,211.101,289.01,4.687,0.043
48.0,Model,False,117.863,157.7,2.597,-4.728
48.0,Naive: same time last week,True,170.371,222.652,3.726,-26.922
48.0,Naive: same time yesterday,True,211.101,289.01,4.687,0.043
48.0,Naive: 4-week average,True,150.405,199.334,3.274,-41.923
48.0,Persistence,True,316.542,408.814,7.074,2.963
