feature,gain,horizon_hours
naive_4week_mean,634034.7588808537,1.0
demand_lag0,416107.10601726174,1.0
naive_last_week,127897.97656834126,1.0
tod_cos,103000.34594321251,1.0
demand_lag336,97599.1912523508,1.0
naive_yesterday,83658.6995537281,1.0
tod_sin,77493.62778055668,1.0
demand_roll48_mean,63492.529783695936,1.0
demand_lag48,62172.58529520035,1.0
doy_sin,56704.44796407223,1.0
demand_roll336_std,55104.38614910841,1.0
persistence,52604.887110710144,1.0
demand_roll48_std,51875.42392337322,1.0
doy_cos,51720.18159896135,1.0
demand_roll336_mean,49723.856727302074,1.0
demand_lag2,46961.98433256149,1.0
dayofweek,35178.375895023346,1.0
demand_lag1,29519.400433301926,1.0
hour,23780.603433154523,1.0
month,9492.154410600662,1.0
is_holiday,5219.467651724815,1.0
is_holiday_adjacent,1879.9769122600555,1.0
is_weekend,1268.1090809106827,1.0
horizon_hours,0.0,1.0
naive_4week_mean,644363.7768011093,3.0
naive_yesterday,143911.5515882969,3.0
naive_last_week,129095.37673735619,3.0
demand_lag0,96582.36212229729,3.0
demand_lag336,71364.98440241814,3.0
doy_sin,56862.64517426491,3.0
demand_roll48_mean,51138.03151869774,3.0
doy_cos,45474.031393289566,3.0
dayofweek,45423.32588100433,3.0
demand_roll336_std,45197.350758075714,3.0
demand_lag48,44637.93431854248,3.0
demand_roll336_mean,43593.67851114273,3.0
demand_roll48_std,40701.45730853081,3.0
tod_cos,25998.481353759766,3.0
tod_sin,20179.33930492401,3.0
demand_lag2,16943.095383405685,3.0
persistence,12985.037717342377,3.0
hour,12418.64534163475,3.0
is_holiday,11074.945074796677,3.0
month,10117.820217370987,3.0
demand_lag1,10079.445703983307,3.0
is_holiday_adjacent,2627.9880764484406,3.0
is_weekend,1477.3755731582642,3.0
horizon_hours,0.0,3.0
naive_4week_mean,644726.1225578785,6.0
naive_yesterday,142203.65356564522,6.0
naive_last_week,108579.33612370491,6.0
doy_sin,58111.32886624336,6.0
dayofweek,45591.075825214386,6.0
demand_roll336_std,44320.89618086815,6.0
doy_cos,43913.31987833977,6.0
demand_roll336_mean,43072.27125287056,6.0
demand_roll48_mean,39867.25253391266,6.0
demand_roll48_std,35540.81466937065,6.0
demand_lag336,31001.007927417755,6.0
demand_lag0,30238.10084462166,6.0
demand_lag48,17774.127318382263,6.0
tod_sin,16083.418980360031,6.0
demand_lag2,12573.897621631622,6.0
tod_cos,11974.62521147728,6.0
is_holiday,10928.149015903473,6.0
month,9331.627653121948,6.0
hour,9037.476150751114,6.0
demand_lag1,7535.505663871765,6.0
persistence,3666.9359707832336,6.0
is_holiday_adjacent,3312.975031852722,6.0
is_weekend,1556.902928352356,6.0
horizon_hours,0.0,6.0
naive_4week_mean,630104.7821192741,12.0
naive_yesterday,144862.02345252037,12.0
naive_last_week,104018.41861152649,12.0
doy_sin,52846.13470506668,12.0
dayofweek,40835.39996814728,12.0
doy_cos,39248.654983997345,12.0
demand_roll336_mean,38032.763365745544,12.0
demand_roll336_std,32853.63957262039,12.0
demand_roll48_mean,26801.054848194122,12.0
demand_roll48_std,21162.839918136597,12.0
demand_lag336,17505.902386903763,12.0
tod_sin,14290.409981250763,12.0
is_holiday,12276.028823375702,12.0
demand_lag2,11343.57898569107,12.0
demand_lag0,9045.437465190887,12.0
demand_lag48,8427.962667942047,12.0
tod_cos,8266.152292251587,12.0
month,8234.887125015259,12.0
hour,5299.997414588928,12.0
demand_lag1,4427.279201507568,12.0
is_holiday_adjacent,2980.2522945404053,12.0
is_weekend,2246.5265130996704,12.0
persistence,1535.8458247184753,12.0
horizon_hours,0.0,12.0
naive_4week_mean,667377.8871822357,24.0
naive_last_week,127206.56645321846,24.0
demand_lag0,93878.15532112122,24.0
doy_sin,82105.61298108101,24.0
demand_roll336_mean,71671.274132967,24.0
doy_cos,64582.24058151245,24.0
demand_roll336_std,64092.62508749962,24.0
demand_roll48_mean,55321.84787654877,24.0
dayofweek,51711.090775966644,24.0
demand_roll48_std,47466.25689601898,24.0
demand_lag336,25307.797587394714,24.0
demand_lag48,22720.10674238205,24.0
demand_lag1,18960.69471859932,24.0
tod_sin,18324.077756404877,24.0
demand_lag2,17594.419651031494,24.0
tod_cos,15149.868382930756,24.0
naive_yesterday,13473.0319480896,24.0
is_holiday,13440.661962509155,24.0
month,11931.469190120697,24.0
hour,8830.325456380844,24.0
is_holiday_adjacent,4891.362409591675,24.0
is_weekend,2489.9918105602264,24.0
persistence,647.7968635559082,24.0
horizon_hours,0.0,24.0
naive_4week_mean,660362.1540853977,48.0
naive_yesterday,111006.80552697182,48.0
naive_last_week,108342.43600273132,48.0
doy_sin,56777.12691736221,48.0
demand_roll336_mean,49121.03519535065,48.0
doy_cos,45758.02619290352,48.0
dayofweek,45599.99508047104,48.0
demand_roll336_std,36915.7818813324,48.0
demand_roll48_mean,29345.355566978455,48.0
demand_roll48_std,20074.78777694702,48.0
demand_lag48,16990.9958486557,48.0
tod_sin,15825.61947441101,48.0
demand_lag336,12502.418249130249,48.0
is_holiday,12273.919116973877,48.0
month,9567.586035728455,48.0
tod_cos,8563.363909244537,48.0
demand_lag0,7559.640813827515,48.0
demand_lag2,7210.702021121979,48.0
hour,6734.280207633972,48.0
is_holiday_adjacent,4417.671421051025,48.0
demand_lag1,3365.8275060653687,48.0
is_weekend,2088.428834915161,48.0
persistence,976.3519430160522,48.0
horizon_hours,0.0,48.0
